Compound_Name,CAS_Number,Flavor_Description,Source
"2,4-nonadienal",6750-03-4,watermelon,Flavornet
estragole,140-67-0,"licorice, anise",Flavornet
ethyl octenoate,2351-90-8,"must, oil, fruit, pungent",Flavornet
(E)-dihydrocarvone,5948-04-9,"warm, herb",Flavornet
6-decenal,105683-99-6,"tallow, green",Flavornet
decanal,112-31-2,"soap, orange peel, tallow",Flavornet
6-decenal,147159-48-6,cucumber,Flavornet
dimethyl tetrasulfide,5756-24-1,"cabbage, sulfur",Flavornet
linalool oxide,1365-19-1,"flower, wood",Flavornet
isodihydrocarveol,18675-35-9,"wood, spice",Flavornet
naphthalene,91-20-3,tar,Flavornet
isobutyric acid,79-31-2,"rancid, butter, cheese",Flavornet
dodecane,112-40-3,alkane,Flavornet
"2,4-nonadienal",5910-87-2,"fat, wax, green",Flavornet
p-cymenol,1197-01-9,"citrus, must",Flavornet
(E)-carveol,1197-07-5,"caraway, solvent",Flavornet
(Z)-piperitol,491-04-3,herb,Flavornet
linalyl formate,115-99-1,"citrus, coriander",Flavornet
methyl nonanoate,1731-84-6,coconut,Flavornet
(-)-carvone,6485-40-1,mint,Flavornet
diethyl malonate,105-53-3,apple,Flavornet
syntexan,67-68-5,garlic,Flavornet
furfurylmethyldisulphide,57500-00-2,smoke,Flavornet
(Z)-carveol,1197-06-4,caraway,Flavornet
myrtenal,23727-16-4,spice,Flavornet
piperitol,16721-39-4,herb,Flavornet
methyl salicylate,119-36-8,peppermint,Flavornet
epoxy-p-menthene,13955-48-1,"mint, dill",Flavornet
γ-octalactone,104-50-7,coconut,Flavornet
hexyl methylbutyrate,10032-15-2,strawberry,Flavornet
benzothiazole,95-16-9,"gasoline, rubber",Flavornet
phenyl cyanide,100-47-0,rancid,Flavornet
3-mercaptohexyl-acetate,136954-20-6,box tree,Flavornet
piperitone,89-81-6,"mint, fresh",Flavornet
isobornyl formate,1200-67-5,"green, earth, camphor",Flavornet
citronellol,106-22-9,rose,Flavornet
dihydromethylcyclopentapyrazine,23747-48-0,"roast, nut",Flavornet
neral,106-26-3,lemon,Flavornet
chavicol,501-92-8,"medicine, phenol",Flavornet
β-cyclocitral,432-25-7,mint,Flavornet
2-decenal,2497-25-8,tallow,Flavornet
2-decenal,3913-71-1,orange,Flavornet
β-phenethyl acetate,103-45-7,"rose, honey, tobacco",Flavornet
2-decenal,3913-81-3,tallow,Flavornet
nerol,106-25-2,sweet,Flavornet
(R)-linden ether,125811-37-2,mint,Flavornet
ethyl phenylacetate,101-97-3,"fruit, sweet",Flavornet
hydrocinnamic alcohol,122-97-4,"cinnamon, anise, fruit",Flavornet
methylnonanedione,113486-29-6,"straw, fruit",Flavornet
DL-carvone,99-49-0,"mint, basil, fennel",Flavornet
phenylacetic acid,103-82-2,"honey, flower",Flavornet
citral,5392-40-5,lemon,Flavornet
isogeraniol,5944-20-7,rose,Flavornet
(+)-carvone,2244-16-8,caraway,Flavornet
bornyl formate,7492-41-3,green,Flavornet
p-anisyl alcohol,105-13-5,flower,Flavornet
sulfurol,137-00-8,sulfur,Flavornet
cumin aldehyde,122-03-2,"acid, sharp",Flavornet
linalyl acetate,115-95-7,"sweet, fruit",Flavornet
perilla aldehyde,2111-75-3,spice,Flavornet
p-anisaldehyde,123-11-5,"mint, sweet",Flavornet
decanol,112-30-1,fat,Flavornet
o-aminoacetophenone,551-93-9,"foxy, sweet",Flavornet
isopulegyl acetate,89-49-6,"mint, leaf",Flavornet
geranial,141-27-5,"lemon, mint",Flavornet
geraniol,106-24-1,"rose, geranium",Flavornet
nonanoic acid,112-05-0,"green, fat",Flavornet
benzoic acid,65-85-0,urine,Flavornet
epoxy-2-nonenal,128386-31-2,metal,Flavornet
octanoic acid,124-07-2,"sweat, cheese",Flavornet
safrole,94-59-7,"spice, sweet, warm",Flavornet
p-menthenethiol,71159-90-5,grapefruit,Flavornet
(E)-cinnamaldehyde,14371-10-9,"cinnamon, paint",Flavornet
"2,4-decadienal",65909-91-3,seaweed,Flavornet
4-ethylguaiacol,2785-89-9,"spice, clove",Flavornet
5-octanolide,698-76-0,peach,Flavornet
methyl quinoxaline,7251-61-8,"roast, nut, fruit",Flavornet
indole,120-72-9,"mothball, burnt",Flavornet
"1,3-p-menthadien-7-al",1197-15-5,"fat, spice",Flavornet
undecanone,112-12-9,"orange, fresh, green",Flavornet
decadienal,25152-83-4,"fried, fat",Flavornet
dihydroterpinyl acetate,58985-18-5,"pine, citrus",Flavornet
γ-butyrolactone,96-48-0,"caramel, sweet",Flavornet
(Z)-β-Farnesene,28973-97-9,"citrus, green",Flavornet
safranal,116-26-7,"herb, sweet",Flavornet
methyl geranate,1189-09-9,"flower, green, fruit",Flavornet
nonyl acetate,143-13-5,"sweet, fruit",Flavornet
decadienal,25152-84-5,"fried, wax, fat",Flavornet
undecanaldehyde,112-44-7,"oil, pungent, sweet",Flavornet
α-terpineol,98-55-5,"oil, anise, mint",Flavornet
ethyl undecanoate,627-90-7,"cognac, coconut",Flavornet
isopentyldimethylpyrazine,18433-98-2,fruit,Flavornet
cinnamyl alcohol,104-54-1,oil,Flavornet
tridecane,629-50-5,alkane,Flavornet
