Compound_Name,CAS_Number,Odor_Description,RI_OV101,RI_DB5,RI_OV17,RI_C20M
cis-sabinene hydrate,15537-55-0,balsamic,1056,1073,1164,1421
guaiacol,90-05-1,"smoke, sweet, medicine",1056,1089,1224,1859
γ-terpinene,99-85-4,"gasoline, turpentine",1058,1074,1089,1238
hydroxydimethylcyclopentenone,21835-00-7,caramel,1058,1075,1226,1840
p-cresol,106-44-5,"medicine, phenol, smoke",1058,1075,1321,2067
nonenone,24415-26-7,"pungent, mushroom",1059,1076,1148,1405
ethyldimethylthiazole,38205-61-7,earth,1061,1078,1149,1435
"2,5-dimethyl-3-ethylpyrazine",13360-65-1,"potato, roast",1062,1082,1136,1435
dihydromyrcenol,18479-58-8,"tart lime, citrus, cologne",1063,1080,1181,1438
sotolon,28664-35-9,"cotton candy, spice, maple",1063,1107,1347,2205
thenylthiol,6258-63-5,sulfur,1064,1081,1172,1429
methyl benzoate,93-58-3,"prune, lettuce, herb, sweet",1064,1103,1194,1600
ethyldimethylpyrazine,13925-07-0,potato,1066,1083,1151,1449
ethyldimethylpyrazine,15707-34-3,"burnt, popcorn",1067,1084,1146,1403
artemisia alcohol,29887-38-5,herb,1067,1084,1175,1432
m-cresol,108-39-4,"fecal, plastic",1067,1084,1175,2115
dimethylethyl pyrazine,13925-07-0,roast,1069,1086,1154,1455
durene,95-93-2,"rancid, sweet",1070,1087,1178,1435
maltol,118-71-8,caramel,1070,1087,1698,1955
(Z)-linalool oxide,5989-33-3,flower,1071,1070,1161,1420
octanol,111-87-5,"chemical, metal, burnt",1071,1072,1163,1553
2-pentylthiophene,4861-58-9,"sweet, fruit",1073,1090,1181,1438
acetylthiophene,88-15-3,sulfur,1073,1090,1240,1785
pentyl butanoate,540-18-1,banana,1077,1094,1185,1442
"3,5-octadienone",38284-27-4,"fruit, fat, mushroom",1078,1095,1193,1432
3-nonenal,31823-43-5,cucumber,1079,1096,1186,1345
